num_factors,lambda_value,tau_value,RMSE,log_likelihood,log_stability
50,0.001,0.001,1.0280899709345004,-4480.802024567397,False
50,0.001,0.005,1.0280501957330161,-4536.65881705999,False
50,0.001,0.01,1.0280521687681872,-4605.9878436251365,False
50,0.05,0.01,0.3947988456840902,-22342.748464047,True
50,0.005,0.005,0.8321121184822885,-22408.293595283587,False
50,0.005,0.01,0.8324371211878098,-22494.03119174159,False
50,0.1,0.01,0.6318012774415762,-44671.96834560254,True
50,0.01,0.005,0.6319047704320765,-44709.63698050523,False
50,0.01,0.01,0.8466577684141575,-44782.325201895874,False
100,0.001,0.001,1.028549864324458,-4474.850587690902,False
100,0.001,0.005,1.0285455297120143,-4502.6515970948485,False
100,0.001,0.01,1.028546755954432,-4537.47199421012,False
100,0.05,0.01,0.3588585181677033,-22344.22292494143,True
100,0.005,0.005,0.8340637243713622,-22376.781000569717,False
100,0.005,0.01,0.8339833734664837,-22425.53053863848,False
100,0.1,0.01,0.6243957945908065,-44682.53635189754,True
100,0.01,0.005,0.6247859379547057,-44699.63474570428,False
100,0.01,0.01,0.848894625520642,-44737.553373327544,False
1000,0.001,0.001,1.028976734959559,-4469.678861928877,False
1000,0.001,0.005,1.0289767505243421,-4472.457554067982,False
1000,0.001,0.01,1.0289766699841352,-4475.921484792628,False
1000,0.05,0.01,0.35740648808632686,-22345.36400216503,True
1000,0.005,0.005,0.8358001516945825,-22348.655993580687,False
1000,0.005,0.01,0.8357957951405318,-22353.436601512883,False
1000,0.1,0.01,0.6250465935960904,-44690.12208981073,True
1000,0.1,0.05,0.6249020036403468,-44691.865242699845,True
1000,0.01,0.01,0.8509871382671912,-44695.580709150854,False

1000,0.05,0.01,0.35740648808632686
